"Recipe","Content","Dish","Stages","food_pics"
"Raita","The history of raita as a side dish can be traced at least to the 12th century, when a form of it appears in the Manasollasa (1137 CE), suggesting that its roots lie in the medieval period; later evidence from the Ni‘matnāma around 1500 CE shows it more clearly as part of established courtly cuisine.

To accompany Mumbai-Style Oven Roasted Chicken Thighs with Vegetables.

Let's make a very proper cucumber raita and to fit the meal beautifully.

Use:","indian","Make ahead",""
"Mumbai-Style Oven Roasted Chicken Thighs with Vegetables","
    Overview


    A one-pan roast with bone-in chicken thighs, onion, green pepper, jalapeño, and thick-cut zucchini, seasoned with warm spices including garam masala. Serve with rice cooked in chicken broth, yogurt, lemon, and fresh cilantro.
","indian","Prepare the meal",""
"Pot of Mixed Beans and Potato Curry - ready when you are","
    **Tomato-free bean and potato curry**


    This one required prep. It started with soaking a cup of beans that wouldn't fit into the proper container. 


        So cook 'em!
    



    
    I had potatoes and celery. That's why there is celery this time. It's not really needed.
","beans, indian","Make ahead",""
" 30 Minute Meal: Mediterranean Fish & Chickpea Skillet","
    30 Minute Meal: Mediterranean Fish & Chickpea Skillet


    Ingredients


       1 pound (500g) cod fish
       1/4 cup olive oil
       salt, to taste
       freshly cracked black pepper to taste
       1 onion, halved and thinly sliced
       4-5 garlic cloves, grated
       a handful of grape tomatoes
       2 teaspoons capers
       1 heaping teaspoon dried oregano
       10-12 Kalamata olives
       1 (15 oz can) chickpeas
       2 tablespoons finely chopped parsley","fish","Prepare the meal",""
"Greek leftover rice","To make Jimmy the Greek rice, you’ll need the following ingredients:

– 2 cups cooked white rice

– 1/4 cup chicken or vegetable broth

– Juice and zest of 1 lemon

– 2 tablespoons chopped fresh dill

– Salt and pepper to taste

Here’s how to make it:


In a large skillet, heat the chicken or vegetable broth over medium heat.
Add the cooked rice to the skillet, stirring to combine with the broth.
Stir in the lemon juice and zest, along with the chopped dill.","greek, rice","Make ahead",""
"🥙 Greek Souvlaki Pita Night","
    Sheet Pan Pork & Veg with asparagus and lazy tzatziki


     


    🥙 Greek Souvlaki Pita Night


    🍚 1️⃣ Broth Rice (Flavor Upgrade)


    Cook your rice in homemade broth instead of water.


    When it’s done:


    Fluff


    Squeeze fresh lemon


    Tiny drizzle olive oil


    Small pinch oregano (optional)


    Salt only if broth needs it


    Let it rest covered 5 minutes. It’ll get glossy and fluffy.


     
","greek, grilled, rice","Prepare the meal",""
"Soy-baked trout ","
    with fragrant ginger, chilli and lime


    Ingredients




            2 x 130g trout fillets
        



            4cm piece of ginger
        



            6 spring onions
        



            1 red chilli
        ","","Prepare the meal",""
"Black Eyed Peas Recipe (Greek-Style)","
    No time like the present to soak some beans.
","beans","Make ahead",""
"Midweek Lazy Hash 🧅  🧄  🌶️  🫑  🥔 🫘","Here’s a “lazy but hearty” combo — in a one-pan cast-iron skillet, with flavour options.



🔥 One-Pan Chickpea & Potato Hash with Eggs

Core Ingredients (because it's what I already have):


Leftover potatoes (roasted or boiled? doesn’t matter)
Eggs
Chickpeas (canned or cooked)
Red pepper
Onions


Flavor boosters to consider throwing in:","eggs, veggie","Prepare the meal",""
"John and Brenda’s chicken + potato + kale bake","
    You're right to double-check everything. Here's a breakdown for John and Brenda’s chicken + potato + kale bake, including oven timing, kale prep, and some ideas to round out the meal.
","roasted veggies, winter veg","Prepare the meal",""
"One pan salmon and spinach ravioli","It started with some Farm Boy Spinach Ravioli, and I was looking for a sauce. Nothing complicated. Just simple. Butter and lemon juice and garlic. Perfect!! I figured add salmon to the query, and at the very least I would be able to use the two filets that weredefrosting. Look what I found! A recipe page without ads. Just a WordPress site ","salmon","Prepare the meal",""
"Spiced Winter Veg + Chickpea Couscous Toss","
    The fresh herbs were the chef's kiss with this warm bowl of goodness. Well, so was the Ras el Hanout!
    A 20-minute dish that feels comforting, balanced, and honestly, kind of impressive.
","winter veg","Prepare the meal",""
"Two weeks water system","
        Lavender survives drought better than rot
    


    🌿💜 Lavender smiles 🌿💜


    🌿 Bin Plan: + Clay pots + Facecloth Wick + 4 cm Water
","","Still growing",""
"Leftover chicken, fried rice ","
    no egg. I have no eggs. Just one cup or so of spicy chicken and fresh red peppers. I won't even think of adding zuchinni today. Just no.


    
    Ingredients


      1 T oil
       1/2 onion                     finely diced
      1/2 celery stick            finely diced
      1 carrot                        peeled and diced
      1 small red pepper    finely diced
      1 garlic cloves             minced
      1/2  cup frozen peas
","chicken, fried rice","Prepare the meal",""
"Labneh","
    The easiest way to enjoy Labneh is to live next to a Lebanese family. The next best way is to make it yourself


    Ingredients  



        ▢ 500 ml whole milk yogurt
    


    To Serve (optional)
","Lebanese","",""
"Welcome Rosemary ","Welcome Rosemary

Top dress rosemary with gravel — helps avoid fungus and looks cool.

Cilantro

Cilantro likes way more water then I ever imagined. No wonder my cilantro always didn't make it. It wants as much water as parsley does. You can learn a lot about a plant by growing it indoors.
","","Still growing",""
"chickpeas and arugula","
    Got 5 minutes and an extra can of chickpeas? Then you’re already halfway to this zesty arugula salad. Tossed with salty parmesan and a super simple lemon olive oil dressing, it’s the a perfect, simple salad recipe you can count on. 
","salad","Prepare the meal",""
"Korean dumplings","
    Picked up some Korean dumplngs at Farm Boy? Here are some suggestions 😋


    https://pairingplates.com/what-to-serve-with-korean-dumplings/


     


     

","dumplings","Prepare the meal",""
"Stuffed Spaghetti Squash","
    


     


     


    This stuffed spaghetti squash dish with tomatoes, bell peppers, and feta cheese is perfect for a light and tasty vegetarian dinner. The crispy bread crumbs on top are delicious and add some crunch.


     


     


     


    Prep Time: 15 mins | Cook Time: 40 mins |  Total Time: 55 mins | Servings: 2
","spaghetti squash","Prepare the meal",""
"sheet pan salmon and cauliflower with spice rub","
    sheet pan salmon and cauliflower with spice rub


    sheet pan salmon and cauliflower with spice rub is an easy weeknight dinner that comes together in 35 minutes with just 7 ingredients. mustard and just 3 pantry spices provide tons of flavor in this healthy recipe.
","roasted veggies, salmon","Prepare the meal",""
"Asparagus in the oven","
    I don't know if I've ever even had oven roasted asparagus. Tonight it just seems like a great idea. Here goes!


    
    ---
","roasted veggies","Prepare the meal",""
"lazy leftovers","Cast iron can absolutely handle this, and adding a little liquid will give you the best of both worlds: gentle cooking without drying out, and a bit of pan sauce at the end.



🍳 Cast Iron Nuoc Cham Chicken (Semi-Hands-Off)

What to do


Preheat pan: Medium-high, add a thin film of neutral oil.
Quick sear: Lay your marinated chicken slices in a single layer. Let them get a little color (1–2 min per side).","chicken","Prepare the meal",""
"Korean-Flare Basmati Rice","To accompany bok choy and salmon

🍚 Korean-Flare Basmati Rice (1–2 servings)

Ingredients


½–¾ cup basmati rice (dry, uncooked)
1 cup chicken broth (for ½ cup rice) or 1½ cups broth (for ¾ cup rice)
1 tsp toasted sesame oil (plus more to drizzle)
½ tsp soy sauce (optional, adds umami + saltiness)
Pinch of gochugaru (Korean chili flakes) or red pepper flakes (optional, for heat)
½ tsp garlic powder or 1 small clove fresh garlic, minced
Sprinkle of black pepper
Garnish: sliced green onion, sesame s","rice","Prepare the meal",""
"Valerie Bertinelli’s One-Pan Salmon with Broccoli & Cauliflower","
I love this recipe because it is truly a one-pan wonder. You just put the fresh salmon and crisp veggies on a baking sheet, season everything and pop it in the oven to roast. In just 20 minutes you've got a flavorful and healthy dinner and only one pan to clean!




One-Pan Salmon with Broccoli & Cauliflower

(Valerie Bertinelli)","salmon","Prepare the meal",""
"Winter watering 🫖","Let's welcome back cilantro 😄🌿 — the heat is over. It can live happily indoors with parsley + chives.

A simple watering plan by plant type will make winter growing easier, because there is a mix of “drink like crazy” and “sip slowly” plants.

Here’s a way to categorize the collection into watering groups:



💦 Water Lovers (frequent, keep evenly moist)

Parsley

Chives

Cilantro (new roommate!)

Basil

Lettuce / leafy greens","","Still growing",""
